No.,NAME,ENTROPY,AMW,GD,nTA,nBM,SCBO,RBN,RBF,nDB,nTB,nCsp3,ZM1,ZM1V,HNar,Xt,BLI,PJI2,AECC,CENT,S3K,PW2,PW3,PW4,PW5,MAXDN,MAXDP,DELS,Psi_i_A,Psi_i_0d,BAC,MPC03,MPC06,MPC07,MPC08,MPC10,piPC02,piPC03,piPC04,PCR,X4,X2A,X3A,X4A,X5A,X3v,X5v,X0Av,X2Av,X3Av,X4Av,IDDE,IVDE,Ges,rGes,Vindex,Yindex,IC1,IC2,IC4,TIC1,TIC3,SIC1,SIC2,CIC4,CIC5,SpPosA_A,VE1sign_A,EE_L,AVS_X,ChiA_X,SpPosA_X,VE2sign_X,Chi_Dz(Z),J_Dz(Z),AVS_B(m),ChiA_B(m),SpPosA_B(m),SpMax_B(m),SpMAD_B(m),ChiA_B(s),SpMax_B(s),SpDiam_B(s),EE_B(s),SM2_B(s),ATS5m,ATS3e,ATSC1s,ATSC2s,ATSC3s,ATSC4s,ATSC5s,ATSC6s,ATSC7s,MATS2m,MATS3m,MATS4m,MATS5m,MATS6m,MATS7m,MATS8m,MATS1s,MATS2s,MATS3s,MATS4s,MATS5s,GATS2m,GATS2s,GATS6s,GATS7s,GATS8s,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,JGI2,JGI3,JGI9,JGI10,SpMax6_Bh(m),SpMax7_Bh(m),SpMax8_Bh(m),SpMax8_Bh(e),SpMax2_Bh(s),SpMin3_Bh(e),SpMin5_Bh(e),SpMin6_Bh(e),SpMin7_Bh(p),SpMin2_Bh(s),SpMin3_Bh(s),SpMin4_Bh(s),SpMin5_Bh(s),SpMin6_Bh(s),P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_5,P_VSA_MR_5,P_VSA_MR_6,P_VSA_MR_7,P_VSA_m_2,P_VSA_s_3,P_VSA_s_4,P_VSA_s_5,P_VSA_ppp_con,P_VSA_ppp_ter,Eta_betaP,Eta_L_A,Eta_sh_y,Eta_sh_x,SpMaxA_EA,SpMax_EA(ed),SpMaxA_EA(ed),SpMaxA_EA(bo),SpMAD_EA(bo),SpMax_EA(dm),SpMax_AEA(dm),Chi0_EA(dm),Chi1_EA(dm),SM07_EA,SM03_EA(dm),SM04_EA(dm),SM04_AEA(bo),SM10_AEA(bo),SM11_AEA(bo),SM12_AEA(bo),SM13_AEA(bo),SM14_AEA(bo),SM15_AEA(bo),SM02_AEA(dm),SM03_AEA(dm),SM06_AEA(dm),SM07_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),Eig03_EA(dm),Eig04_EA(dm),Eig05_EA(dm),Eig06_EA(dm),Eig07_EA(dm),Eig05_AEA(ed),Eig06_AEA(ed),Eig07_AEA(ed),Eig02_AEA(bo),Eig04_AEA(bo),Eig05_AEA(bo),Eig06_AEA(bo),Eig08_AEA(bo),Eig09_AEA(bo),Eig10_AEA(bo),nCt,nR=Cp,nR#CH/X,H-047,B02[C-C],B03[C-C],B04[C-C],PDI,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_cons,LLS_01
1,C#C,200.9,6.51,1,2,1,3,0,0,0,1,0,2,18,1,0,1,0,1,0,1.008441558,0,0,0,0,0,0,0,4,0.708303336,4,0,0,0,0,0,0,0,0,1.29248125,0,0,0,0,0,0,0,0.577350269,0,0,0,0,0,1,0.5,0,0,1,1,0,4,2,0.5,0.5,0,0,0.5,0,2.239544766,1,1,0.5,0,3,3,2.832050808,0.35310101,1.416025404,2.832050808,1.832050808,0.17146627,5.832050808,3.664101615,5.860209836,3.681674066,0,0.634981504,6.75,4.5,2.25,0,0,0,0,-1,1,0,0,0,0,0,-0.333333333,-1,1,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.902473813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6424926,0,46.6424926,0,0,0,0,46.6424926,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.406719247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.720453126,1,0.5,0.833333333,0.4,0,0.676190476,1
2,C=C,219.3,4.676666667,1,2,1,2,0,0,1,0,0,2,8,1,0,1.5,0,1,0,1.19025974,0,0,0,0,0,0,0,3,0.575646273,4,0,0,0,0,0,0,0,0,1.160964047,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,1,0.5,0,0,0.918295834,0.918295834,0,5.509775004,2.339850003,0.355245321,0.355245321,0,0,0.5,0,2.239544766,1,1,0.5,0,2,2,2.514213562,0.397738687,1.257106781,2.514213562,1.514213562,0.221522528,4.514213562,3.028427125,4.571863324,3.160639978,0,1.514676353,5.333333333,4.444444444,1.777777778,0,0,0,0,-0.5,0.5,0,0,0,0,0,-0.4,-0.5,0.5,0,0,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.874063722,0,0,0,0,0,0,0,0,0,0,31.53383999,0,0,0,31.53383999,0,31.53383999,0,0,0,0,31.53383999,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0.734023496,1,0.5,0.833333333,0.2,0,0.647619048,1
3,CC,229.2,3.76,1,2,0,1,0,0,0,0,2,2,2,1,0,3,0,1,0,1.45,0,0,0,0,0,0,0,2,0.402359478,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,0.811278124,0.811278124,0,6.490224996,2.490224996,0.270426041,0.270426041,0,0,0.5,0,2.239544766,1,1,0.5,0,1,1,2.1,0.476190476,1.05,2.1,1.1,0.322580645,3.1,2.2,3.244838046,2.435366204,0,2.195321118,1.6875,1.5,0.5625,0,0,0,0,-0.333333333,0.333333333,0,0,0,0,0,-0.428571429,-0.333333333,0.333333333,0,0,1.166666667,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831,0,0,0,2.903023903,0,0,0,0,0.149617388,0,0,0,0,17.65040852,0,0,0,17.65040852,0,0,17.65040852,0,17.65040852,0,0,17.65040852,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734624911,1,0.5,0.833333333,0.4,0.5,0.747619048,1
4,C=C=C,244,5.724285714,0.666666667,2,2,4,0,0,2,0,0,6,24,1.2,1.201122409,1.060660172,1,1.666666667,2,1.519480519,0.333333333,0,0,0,0.25,0.125,0.5,2.833333333,-0.394625053,5,0,0,0,0,0,1.609437912,0,0,1.276989408,0,0.707106781,0,0,0,0,0,0.638071187,0.25,0,0,0.918295834,0.918295834,2,0.666666667,2.042147945,0,1.378783493,1.378783493,0.46134567,9.651484454,6.844129532,0.49113259,0.49113259,2.346009252,0,0.471404521,0.292893219,3.210997623,0.942809042,1,0.333333333,0.097631073,1.632993162,3.265986324,3.019618083,0.314155604,1.380307138,3.141921415,1.42794761,0.200152057,4.906523116,4.312046231,5.062887237,3.538677675,0,1.56175913,5.551020408,4.954081633,3.816326531,2.469387755,0,0,0,-0.166666667,-1,0.75,0,0,0,0,-0.409638554,0.078313253,-1.126506024,0.728915663,0,1,0.65060241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.847134735,0,0,0,0,0,0,0,0,0,0,31.53383999,0,0,0,31.53383999,16.41796321,47.9518032,0,0,16.41796321,0,31.53383999,2,0.15713484,0,0,0.5,1,0.5,1,2,1.15,2.15,1.865009616,0.869565217,0,0,1.503635633,4.418840608,-1,0,0,0,0,0,0,0,0,0,0,-1.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,1,0,0,0.778335949,1,0.5,0.833333333,0.4,0,0.676190476,1
5,CC#C,248.22,5.724285714,0.666666667,2,1,4,0,0,0,1,1,6,26,1.2,1.201122409,1.183012702,1,1.666666667,2,1.558441558,0.333333333,0,0,0,0.347222222,0.597222222,1.194444444,2.833333333,-0.380565305,5,0,0,0,0,0,1.386294361,0,0,1.232274406,0,0.707106781,0,0,0,0,0,0.69245009,0.288675135,0,0,0.918295834,0.918295834,3,1,2.042147945,0,2.128085279,2.128085279,0.924933169,14.89659695,12.08924203,0.758039271,0.758039271,1.882421753,0,0.471404521,0.292893219,3.210997623,0.942809042,1,0.333333333,0.097631073,1.237767103,2.475534206,2.955367205,0.323766605,1.378824938,3.137357459,1.424904973,0.210651243,5.349429256,4.723717723,5.419857076,3.594096749,0,1.56175913,3.979591837,4.571428571,5.387755102,1.852040816,0,0,0,-0.052083333,-1,0.75,0,0,0,0,-0.075075075,0.009009009,-1.189189189,0.545045045,0,0.875,0.614864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.607648084,0,0,0,0,0,0,0,0,0,8.825204262,0,0,0,8.825204262,23.3212463,17.03057378,49.17702433,0,8.825204262,17.03057378,0,32.14645056,2,0.196940825,0,0,0.5,1,0.5,0.866025404,1.732050808,0,1.984025723,0.821994937,0,0,0,0,4.919980926,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585786438,0,0,0,0,0,0,0,0,1,0,1,0,0,0.768429244,1,0.5,0.833333333,0.6,0,0.704761905,1
6,CC=C,267.05,4.676666667,0.666666667,2,1,3,0,0,1,0,1,6,14,1.2,1.201122409,1.478397839,1,1.666666667,2,1.74025974,0.333333333,0,0,0,0.25,0.361111111,0.722222222,2.333333333,-0.32061867,5,0,0,0,0,0,1.098612289,0,0,1.129150068,0,0.707106781,0,0,0,0,0,0.761485683,0.40824829,0,0,0.918295834,0.918295834,3,1,2.042147945,0,2.113283334,2.419381946,1.010526389,19.01955001,18.60451251,0.666666667,0.763230027,2.159398612,0,0.471404521,0.292893219,3.210997623,0.942809042,1,0.333333333,0.097631073,1.093748049,2.187496097,2.743475708,0.347281915,1.290370954,2.872063881,1.248042588,0.241723717,4.29649801,3.917200297,4.455764348,3.219103296,0,2.316876108,3.543209877,3.827160494,3.555555556,1.185185185,0,0,0,-0.25,-0.25,0.5,0,0,0,0,-0.319078947,-0.092105263,-0.336842105,0.421052632,0,1.166666667,0.868421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831,0,0,0,3.566778182,0,0,0,0,0.133191516,0,0,0,0,8.825204262,15.76692,9.476247473,0,8.825204262,15.76692,9.476247473,34.06837173,0,18.30145174,0,0,24.59212426,1,0.262891712,0,0,0.5,1,0.5,0.707106781,1.414213562,0,1.396219674,1.212678125,0,0,0,0,3.871201011,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381966011,0,0,0,0,0,0,0,1,0,3,1,0,0,0.774754949,1,0.5,0.833333333,0.4,0,0.676190476,1
7,CCC,270.3,4.01,0.666666667,2,0,2,0,0,0,0,3,6,6,1.2,1.201122409,2.121320344,1,1.666666667,2,2,0.333333333,0,0,0,0.25,0.125,0.5,1.833333333,-0.243238769,5,0,0,0,0,0,0.693147181,0,0,1,0,0.707106781,0,0,0,0,0,0.902368927,0.707106781,0,0,0.918295834,0.918295834,2,0.666666667,2.042147945,0,1.095795255,1.685815709,0.476983155,12.05374781,15.08454118,0.316755865,0.487310025,2.982448463,0,0.471404521,0.292893219,3.210997623,0.942809042,1,0.333333333,0.097631073,0.816496581,1.632993162,2.467333333,0.38566656,1.185045,2.556134999,1.037423333,0.295221685,3.326174538,3.151349076,3.621787753,2.778198085,0,2.850397025,1.599173554,2.033057851,1.673553719,0.464876033,0,0,0,-0.261574074,-0.083333333,0.375,0,0,0,0,-0.494594595,-0.042042042,-0.157657658,0.337837838,0,1.273148148,0.908408408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831,0.0831,0.0831,0.9408,3.467096288,0.179228422,0,0,0,0.469096288,0,0,0,0,17.65040852,2.534531739,0,0,20.18494026,0,0,20.18494026,2.534531739,17.65040852,0,0,17.65040852,0,0.471404521,0,0,0.5,1,0.5,0.5,1,0,1,0,0,0,0,0,2.833213344,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.77177888,1,0.5,0.833333333,0.4,0.5,0.747619048,1
8,CCCC,307,4.152857143,0.5,2,0,3,1,0.076923077,0,0,4,10,10,1.333333333,0.8493218,1.914213562,0.5,2.5,4,3.378,0.416666667,0.166666667,0,0,0.180555556,0.180555556,0.722222222,1.75,0.143911568,8,0.693147181,0,0,0,0,1.098612289,0.693147181,0,1,0,0.5,0.5,0,0,0.5,0,0.853553391,0.5,0.5,0,1,1,2,0.5,1.08937519,3.132402278,1.148834854,1.842370993,1.44132029,16.08368796,25.7931939,0.30174094,0.483897885,2.366034632,3.283472456,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.65824829,1.974744871,2.6015,0.368613027,1.176921833,2.709508375,1.208097852,0.292036281,3.379415962,3.460160771,3.861561685,3.012589686,0.061711363,3.242974928,1.785714286,2.102040816,2.392857143,1.56122449,0.413265306,0,0,-0.241666667,-0.040740741,-0.066666667,0.4,0,0,0,-0.420118343,-0.147435897,0.086894587,-0.192307692,0.346153846,1.327083333,1.020833333,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0.0831,0.9408,3.742350539,0.538503975,0,0,0,0.698005466,0.212598468,0,0,0,17.65040852,5.069063478,0,0,22.719472,0,0,22.719472,5.069063478,17.65040852,0,0,17.65040852,0,0.478553391,0,0,0.471404521,2,0.666666667,0.471404521,0.942809042,0,1.414213562,0,0,0,0,0,3.583518938,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.795134504,1,0.666666667,0.833333333,0.4,0.5,0.771428571,1
9,CC(C)C,295,4.152857143,0.5,3,0,3,0,0,0,0,4,12,12,1.2,0.954064582,1.732050808,1,1.75,6,3.378,0.5,0,0,0,0.5,0.166666667,1,1.833333333,0.153545986,10,0,0,0,0,0,1.386294361,0,0,1,0,0.577350269,0,0,0,0,0,0.894337567,0.577350269,0,0,0.811278124,0.811278124,2,0.5,1.591555069,0,1.094914318,1.429911171,0.409776378,15.32880046,16.21140147,0.287578737,0.375565504,3.397578545,0,0.433012702,0.51763809,4.127694127,0.866025404,1,0.25,0.129409523,0.774596669,2.323790008,2.6515,0.33262081,1.226064038,2.906256151,0.953128075,0.263775159,3.602020679,3.868741357,3.974086421,3.092754391,0,3.255604403,1.872926984,2.999928572,3.775477551,1.530581633,0,0,0,-0.0375,-0.533333333,0.4,0,0,0,0,-0.668097299,0.378444016,-0.616437305,0.342459842,0,1.1375,0.467443662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831,0.0831,0.0831,0.9408,3.467096288,0.933846257,0,0,0,0.469096288,0.469096288,0,0,0,26.47561279,0,0,0,26.47561279,0,0,26.47561279,0,26.47561279,0,0,26.47561279,0,0.433012702,0.25,0,0.666666667,4,1.333333333,0.666666667,1.333333333,0,2,0,0,4.844187086,0,0,4.406719247,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.774420814,1,0.5,0.833333333,0.4,0.5,0.747619048,1
10,CCC=C,308,4.676666667,0.5,2,1,4,1,0.090909091,1,0,2,10,18,1.333333333,0.8493218,1.523603362,0.5,2.5,4,3.45496514,0.416666667,0.166666667,0,0,0.416666667,0.479166667,1.083333333,2.125,0.184027436,8,0.693147181,0,0,0,0,1.386294361,1.098612289,0,1.100572389,0,0.5,0.5,0,0,0.288675135,0,0.747890958,0.348461713,0.288675135,0,1,1,4,1,1.08937519,3.132402278,2.221251836,2.855388542,2.257894792,26.65502203,34.26466251,0.61960253,0.796490491,1.327067709,2.654135417,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.765611754,2.296835262,2.808606781,0.343601292,1.235022693,2.941817049,1.399295722,0.256217227,4.264192335,4.224022987,4.552769024,3.376074133,0.041561107,2.912582833,3.421875,3.5,4.671875,3.28125,0.84375,0,0,-0.25,-0.052631579,-0.125,0.5,0,0,0,-0.257783313,-0.132420091,0.023792358,-0.287671233,0.369863014,1.260416667,0.887366819,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0.0831,0.9408,3.889122071,0.364219667,0,0,0,0.373616805,0,0,0,0,8.825204262,18.30145174,9.476247473,0,11.359736,15.76692,9.476247473,36.60290347,2.534531739,18.30145174,0,0,24.59212426,1,0.337333827,0,0,0.471404521,2,0.666666667,0.577350269,1.154700538,0,1.794510227,2.42535625,0,0,0,0,4.204692619,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.445041868,0,0,0,0,0,0,0,1,0,3,1,1,0,0.799242167,1,0.666666667,0.833333333,0.6,0.5,0.8,1
11,CC(C)=C,293,4.676666667,0.5,3,1,4,0,0,1,0,2,12,22,1.2,0.954064582,1.353553391,1,1.75,6,3.11825974,0.5,0,0,0,0.5,0.555555556,1.111111111,2.166666667,0.190282652,10,0,0,0,0,0,1.791759469,0,0,1.100572389,0,0.577350269,0,0,0,0,0,0.801776695,0.402368927,0,0,0.811278124,0.811278124,3,0.75,1.591555069,0,1.959147917,1.959147917,0.930827083,23.509775,19.9248125,0.546490491,0.546490491,2.654135417,0,0.433012702,0.51763809,4.127694127,0.866025404,1,0.25,0.129409523,0.934346496,2.803039488,2.858606781,0.30856466,1.292486234,3.171872127,1.085936063,0.230795519,4.367701134,4.537885159,4.60428899,3.407960471,0,2.776879504,3.466144135,4.265532717,6.135829012,3.175971296,0,0,0,0.083333333,-1,0.5,0,0,0,0,-0.445799017,0.365317205,-0.994000324,0.392004032,0,0.916666667,0.366688667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831,0.0831,0.0831,0.9408,3.618885339,0.741236492,0,0,0,0.469096288,0.024712194,0,0,0,17.65040852,15.76692,0,3.185574951,17.65040852,18.95249495,0,36.60290347,3.185574951,17.65040852,0,0,33.41732852,1,0.28815652,0.25,0,0.666666667,4,1.333333333,0.853850938,1.707701875,0.68,2.484870816,3.282849176,3.550314062,4.844187086,0,0.35601399,4.919980926,-1,-1,0,0,0,0,0,0,0,0,0,0,-0.68,0,0,0,0,0,0,0,0.585786438,0,0,0,0,0,0,0,1,0,2,1,0,0,0.799242167,1,0.5,0.833333333,0.6,0.5,0.776190476,1
12,C\\C=C/C,301,4.676666667,0.5,2,1,4,0,0,1,0,2,10,20,1.333333333,0.8493218,1.488033872,0.5,2.5,4,3.45496514,0.416666667,0.166666667,0,0,0,0,0,2,0.177075834,8,0.693147181,0,0,0,0,1.609437912,1.098612289,0,1.129344651,0,0.5,0.5,0,0,0.333333333,0,0.788675135,0.333333333,0.333333333,0,1,1,1,0.25,1.08937519,3.132402278,1.79248125,1.79248125,1.361654167,21.509775,21.509775,0.5,0.5,2.223308334,3.084962501,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.849731113,2.549193338,2.808606781,0.340080154,1.253541227,3.015847639,1.307399493,0.251959258,4.015847639,4.030012549,4.316934432,3.251923911,0.061711363,2.756415556,3.111111111,3.777777778,3,2,1,0,0,-0.166666667,-0.15625,-0.25,0.5,0,0,0,-0.181818182,-0.166666667,-0.15625,-0.25,0.5,1.145833333,1.145833333,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0.0831,0.9408,3.708867691,0.441843854,0,0,0,0.588601712,0.00257881,0,0,0,17.65040852,0,18.95249495,0,17.65040852,0,18.95249495,36.60290347,0,36.60290347,0,0,17.65040852,1,0.3125,0,0,0.471404521,2,0.666666667,0.666666667,1.333333333,0,1.794510227,0.857492926,0,0,0,0,4.418840608,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0.799242167,1,0.5,0.833333333,0.6,0.5,0.776190476,1
13,C\\C=C\\C,296,4.676666667,0.5,2,1,4,0,0,1,0,2,10,20,1.333333333,0.8493218,1.488033872,0.5,2.5,4,3.45496514,0.416666667,0.166666667,0,0,0,0,0,2,0.177075834,8,0.693147181,0,0,0,0,1.609437912,1.098612289,0,1.129344651,0,0.5,0.5,0,0,0.333333333,0,0.788675135,0.333333333,0.333333333,0,1,1,1,0.25,1.08937519,3.132402278,1.79248125,1.79248125,1.361654167,21.509775,21.509775,0.5,0.5,2.223308334,3.084962501,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.849731113,2.549193338,2.808606781,0.340080154,1.253541227,3.015847639,1.307399493,0.251959258,4.015847639,4.030012549,4.316934432,3.251923911,0.061711363,2.756415556,3.111111111,3.777777778,3,2,1,0,0,-0.166666667,-0.15625,-0.25,0.5,0,0,0,-0.181818182,-0.166666667,-0.15625,-0.25,0.5,1.145833333,1.145833333,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0.0831,0.9408,3.708867691,0.441843854,0,0,0,0.588601712,0.00257881,0,0,0,17.65040852,0,18.95249495,0,17.65040852,0,18.95249495,36.60290347,0,36.60290347,0,0,17.65040852,1,0.3125,0,0,0.471404521,2,0.666666667,0.666666667,1.333333333,0,1.794510227,0.857492926,0,0,0,0,4.418840608,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0.799242167,1,0.5,0.833333333,0.6,0.5,0.776190476,1
14,CCC#C,290,5.41,0.5,2,1,5,0,0,0,1,2,10,30,1.333333333,0.8493218,1.349335306,0.5,2.5,4,3.672848082,0.416666667,0.166666667,0,0,0.652777778,0.777777778,1.555555556,2.5,0.2146242,8,0.693147181,0,0,0,0,1.609437912,1.386294361,0,1.181541736,0,0.5,0.5,0,0,0.204124145,0,0.696114263,0.278838768,0.204124145,0,1,1,4,1,1.08937519,3.132402278,2.160964047,2.646439345,1.982053726,21.60964047,26.46439345,0.650514998,0.796657624,1.339874369,2.468645607,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.811032103,2.43309631,2.967525404,0.328379896,1.292020055,3.169608318,1.548783666,0.235558068,5.324442461,5.163763174,5.446334445,3.70457627,0.020996454,2.562848956,4.57,4.32,7.68,5.28,1.08,0,0,-0.166666667,-0.038461538,-0.444444444,0.666666667,0,0,0,-0.001248439,-0.028892456,-0.114088159,-0.719101124,0.404494382,1.071428571,0.577849117,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0,0,3.925296667,0.279061658,0,0,0,0.155873631,0,0,0,0,8.825204262,2.534531739,0,0,11.359736,23.3212463,17.03057378,51.71155607,2.534531739,8.825204262,17.03057378,0,32.14645056,2,0.294589025,0,0,0.471404521,2,0.666666667,0.666666667,1.333333333,0,2.336120296,1.643989873,0,0,0,0,5.049856007,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.688892183,0,0,0,0,0,0,0,0,1,0,1,1,0,0.795952864,1,0.5,0.833333333,0.6,0,0.704761905,1
15,CC=C=C,293,5.41,0.5,2,2,5,0,0,2,0,1,10,30,1.333333333,0.8493218,1.219578794,0.5,2.5,4,3.753363799,0.416666667,0.166666667,0,0,0.236111111,0.298611111,0.708333333,2.375,0.2146242,8,0.693147181,0,0,0,0,1.945910149,1.609437912,0,1.249317394,0,0.5,0.5,0,0,0.204124145,0,0.696114263,0.24639964,0.204124145,0,1,1,4,1,1.08937519,3.132402278,2.370950594,2.646439345,1.982053726,23.70950594,26.46439345,0.713727247,0.796657624,1.339874369,2.336452798,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,1.036204099,3.108612297,3.015713562,0.318324356,1.305580623,3.22401103,1.485873989,0.223705662,4.717377387,4.607990482,4.945006339,3.562626975,0.041561107,2.333285158,4.5925,4.8475,4.42,3.4925,1.815,0,0,-0.102564103,-0.25,-0.523809524,0.666666667,0,0,0,-0.122807018,-0.039381671,-0.248803828,-0.62406015,0.578947368,1.009615385,0.794994479,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0.0831,0,0,3.896988787,0.187407006,0,0,0,0.174484257,0,0,0,0,8.825204262,15.76692,9.476247473,0,8.825204262,15.76692,25.89421068,50.48633494,0,18.30145174,16.41796321,0,24.59212426,2,0.234956601,0,0,0.471404521,2,0.666666667,0.816496581,1.632993162,1.450689491,2.468005008,2.604230887,1.378654779,0,0,2.288267128,4.770684624,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,-1.450689491,0,0,0,0,0,0,0,1.554958132,0,0,0,0,0,0,0,1,0,3,1,1,0,0.804005003,1,0.5,0.833333333,0.6,0,0.704761905,1
16,C=CC=C,279,5.41,0.5,2,2,5,1,0.111111111,2,0,0,10,26,1.333333333,0.8493218,1.149829914,0.5,2.5,4,3.852271674,0.416666667,0.166666667,0,0,0.361111111,0.361111111,1.444444444,2.5,0.22568237,8,0.693147181,0,0,0,0,1.609437912,1.609437912,0,1.205378646,0,0.5,0.5,0,0,0.166666667,0,0.642228525,0.23570226,0.166666667,0,1,1,2,0.5,1.08937519,3.132402278,1.370950594,1.921928095,1.457542476,13.70950594,19.21928095,0.412697252,0.578558006,1.864385619,2.793156857,0.559016994,0,3.727583137,0.957106781,0.997737175,0.375,0,0.910683603,2.732050808,3.015713562,0.318986437,1.29723633,3.095922323,1.594472659,0.221457119,4.515713645,4.329722822,4.965288848,3.642085938,0.027898434,2.492025931,5.12,4.96,6.4,4.8,1.44,0,0,-0.305555556,-0.097222222,-0.166666667,0.666666667,0,0,0,-0.444444444,-0.166666667,0.145833333,-0.375,0.5625,1.25,0.9375,0,0,0,0.222222222,0,0,0,0,0,0,0.111111111,0,0,0,0.0831,0,0,0,4.375991798,0.001960964,0,0,0,0.124533207,0,0,0,0,0,31.53383999,18.95249495,0,0,31.53383999,18.95249495,50.48633494,0,18.95249495,0,50.48633494,31.53383999,3,0.161803399,0,0,0.471404521,2,0.666666667,0.666666667,1.333333333,0,1.414213562,0,0,0,0,0,4.584967479,0,-1.414213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,1,1,0,0.804005003,1,0.666666667,0.833333333,0.4,0,0.7,1
